20519913378	28.94	1007.29	0.14	-1.03	-0.11	3.58	5.05	-6.59	27.49	b'$GNGGA,,,,,,0,00,99.99,,,,,,*56\r\n'
21051669471	28.94	1007.26	0.37	-0.93	-0.05	-0.5	1.39	-0.5	27.64	b'$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E\r\n'
21582450200	28.95	1007.24	0.41	-0.93	-0.11	1.02	0.62	-0.27	27.68	b'$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E\r\n'
22114818377	28.94	1007.25	0.38	-0.94	-0.04	1.13	-0.04	-0.49	27.64	b'$GPGSV,1,1,00*79\r\n'
22645498533	28.94	1007.25	0.36	-0.94	-0.04	-0.85	0.04	-0.76	27.54	b'$GLGSV,1,1,00*65\r\n'
23178401606	28.95	1007.22	0.35	-0.95	-0.04	0.25	0.3	-0.13	27.59	b'$GNGLL,,,,,,V,N*7A\r\n'
23711427647	28.95	1007.19	0.68	-0.31	-0.73	-9.51	-10.35	-23.85	27.59	b'$GNRMC,,V,,,,,,,,,,N*4D\r\n'
24245022543	28.96	1007.28	1.0	-0.77	-0.29	7.95	6.86	-3.15	27.59	b'$GNVTG,,,,,,,,,N*2E\r\n'
24776337074	28.95	1007.22	1.21	-0.16	-0.55	0.14	5.92	-6.67	27.64	b'$GNGGA,,,,,,0,00,99.99,,,,,,*56\r\n'
25310557959	28.96	1007.24	0.96	-0.33	0.03	-2.18	9.47	3.37	27.64	b'$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E\r\n'
25845822074	28.95	1007.22	1.24	0.07	-0.0	2.35	4.92	-0.85	27.68	b'$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E\r\n'
26381169001	28.96	1007.26	1.0	0.11	0.02	0.09	-0.89	-0.08	27.68	b'$GPGSV,1,1,00*79\r\n'
26952352230	28.96	1007.23	0.58	-0.67	-0.35	3.59	3.56	22.25	27.68	b'$GLGSV,1,1,00*65\r\n'
27485306500	28.96	1007.24	0.09	-0.96	-0.02	-0.21	0.31	0.04	27.68	b'$GNGLL,,,,,,V,N*7A\r\n'
28018423323	28.97	1007.25	0.21	-0.98	0.04	0.05	0.19	-0.09	27.73	b'$GNRMC,,V,,,,,,,,,,N*4D\r\n'
28551872073	28.97	1007.25	0.19	-0.96	0.03	0.03	0.2	-0.11	27.78	b'$GNVTG,,,,,,,,,N*2E\r\n'
29084962906	28.98	1007.27	0.2	-0.96	0.05	0.17	0.13	-0.18	27.73	b'$GNGGA,,,,,,0,00,99.99,,,,,,*56\r\n'
29619170770	28.97	1007.25	0.19	-0.97	0.04	0.05	0.17	-0.09	27.64	b'$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E\r\n'
30154383583	28.99	1007.22	0.19	-0.97	0.05	0.04	0.18	-0.11	27.64	b'$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E\r\n'
30689817436	28.99	1007.29	0.21	-0.96	0.03	0.03	0.17	-0.07	27.68	b'$GPGSV,1,1,00*79\r\n'
31222710353	28.99	1007.25	0.16	-0.97	0.02	0.15	0.17	-0.28	27.78	b'$GLGSV,1,1,00*65\r\n'
31755683113	29.0	1007.25	0.22	-1.03	0.02	-1.92	0.28	-0.05	27.73	b'$GNGLL,,,,,,V,N*7A\r\n'
32288797905	29.0	1007.3	0.19	-0.97	0.03	-0.03	0.23	-0.07	27.78	b'$GNRMC,,V,,,,,,,,,,N*4D\r\n'
32822332488	29.0	1007.2	0.17	-0.97	0.01	0.08	0.19	-0.15	27.73	b'$GNVTG,,,,,,,,,N*2E\r\n'
33351725821	28.99	1007.22	0.18	-0.97	0.02	0.15	0.17	-0.18	27.78	b'$GNGGA,,,,,,0,00,99.99,,,,,,*56\r\n'
33882994987	29.01	1007.23	0.19	-0.96	0.03	0.02	0.18	-0.1	27.78	b'$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E\r\n'
34415835612	29.0	1007.25	0.19	-0.97	0.04	0.06	0.18	-0.17	27.82	b'$GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E\r\n'
34946790768	29.01	1007.26	0.18	-0.97	0.03	0.01	0.16	-0.1	27.82	b'$GPGSV,1,1,00*79\r\n'
35477731341	29.02	1007.26	0.18	-0.97	0.03	0.01	0.2	-0.09	27.87	b'$GLGSV,1,1,00*65\r\n'
36010802434	29.03	1007.26	0.19	-0.95	0.03	-0.02	0.21	0.05	27.82	b'$GNGLL,,,,,,V,N*7A\r\n'
